"X","Y","NAZWA","TEMP","OPAD"
19.002,49.807,"BIELSKO-BIAŁA",8.8,3.7
19.96,49.294,"ZAKOPANE",6.9,0.2
19.982,49.233,"KASPROWY WIERCH",-2.4,0.9
20.689,49.627,"NOWY SĄCZ",10.1,1.6
21.769,49.707,"KROSNO",10.1,0.1
22.342,49.466,"LESKO",8.6,5.5
15.789,50.9,"JELENIA GÓRA",9,2.8
15.74,50.736,"ŚNIEŻKA",-0.5,1.4
16.614,50.437,"KŁODZKO",8.9,2.9
17.969,50.627,"OPOLE",10.1,7.2
18.191,50.061,"RACIBÓRZ",9.9,4.3
19.092,50.812,"CZĘSTOCHOWA",7.8,12.2
19.033,50.241,"KATOWICE-MUCHOWIEC",9,3.1
19.795,50.078,"KRAKÓW-BALICE",9.8,0.6
20.692,50.81,"KIELCE-SUKÓW",8.4,1.8
20.984,50.03,"TARNÓW",10.8,1.4
21.716,50.697,"SANDOMIERZ",9.3,1
22.042,50.111,"RZESZÓW-JASIONKA",10.6,0.4
23.206,50.698,"ZAMOŚĆ",9.1,0.6
15.525,51.93,"ZIELONA GÓRA",7.8,10.9
16.208,51.193,"LEGNICA",9.9,8.5
16.535,51.836,"LESZNO",8.9,1.2
16.9,51.103,"WROCŁAW-STRACHOWICE",9.4,11.6
18.081,51.781,"KALISZ",7.8,2.2
18.557,51.21,"WIELUŃ",8.2,4.1
19.387,51.718,"ŁÓDŹ-LUBLINEK",8.2,3.7
19.866,51.353,"SULEJÓW",8.4,1.4
21.544,51.565,"KOZIENICE",9.3,2.5
22.393,51.217,"LUBLIN-RADAWIEC",8.9,8.3
23.53,51.553,"WŁODAWA",8.5,1.5
14.62,52.349,"SŁUBICE",7.8,7.1
15.277,52.741,"GORZÓW WIELKOPOLSKI",7,2.7
16.835,52.417,"POZNAŃ-ŁAWICA",7.6,1.2
19.726,52.588,"PŁOCK",7.6,2.2
20.961,52.163,"WARSZAWA-OKĘCIE",8.8,0.6
22.245,52.181,"SIEDLCE",9.2,1
23.622,52.079,"TERESPOL",9.9,0.8
14.242,53.923,"ŚWINOUJŚCIE",4,0.1
14.623,53.395,"SZCZECIN",5.8,0.1
15.393,53.764,"RESKO-SMÓLSKO",4.1,0
16.747,53.131,"PIŁA",6.5,0.1
17.533,53.715,"CHOJNICE",4.4,0
18.595,53.042,"TORUŃ",6,1.5
20.361,53.104,"MŁAWA",7.4,10.4
20.421,53.769,"OLSZTYN",5.6,11.4
21.59,53.789,"MIKOŁAJKI",5.8,3
23.162,53.107,"BIAŁYSTOK",7.8,3.7
15.389,54.158,"KOŁOBRZEG-DŹWIRZYNO",4,0
16.155,54.205,"KOSZALIN",3.5,0
16.854,54.588,"USTKA",3.7,0.1
17.535,54.754,"ŁEBA",3.1,0.1
17.757,54.553,"LĘBORK",3.4,0.1
18.812,54.604,"HEL",3.3,0.7
18.934,54.334,"GDAŃSK-ŚWIBNO",3.5,1.5
19.544,54.223,"ELBLĄG-MILEJEWO",3.5,0.6
21.367,54.067,"KĘTRZYN",5.9,0.2
22.949,54.131,"SUWAŁKI",4.8,3.7
